ticker,ann_date,surprise,beat,drift_return
JPM,2022-01-14,9.73,True,-0.0007932620056414486
JPM,2021-10-13,18.31,True,0.042148033240041904
JPM,2021-07-13,19.08,True,-0.02204750128058708
JPM,2021-04-14,49.98,True,0.019846329100585036
JPM,2021-01-15,15.81,True,-0.03209215978619506
JPM,2020-10-13,38.23,True,-0.036719333627884376
V,2026-04-28,6.79,True,-0.041467976164367704
V,2026-01-29,0.88,True,-0.022068675123013692
V,2025-10-28,0.28,True,-0.0050655577765086335
V,2025-07-29,4.68,True,-0.022106108971797656
V,2025-04-29,3.0,True,0.03343565437625928
V,2025-01-30,3.34,True,0.0368793234317506
V,2024-10-29,5.24,True,0.0686116462191575
V,2024-07-23,0.11,True,0.00924574723287952
V,2024-04-23,3.16,True,0.007890434428445614
V,2024-01-25,3.05,True,0.033609940461600596
V,2023-10-24,3.83,True,0.032000207748190235
V,2023-07-25,2.03,True,0.011219006683500732
V,2023-04-25,5.18,True,0.013675235631125604
V,2023-01-26,8.46,True,-0.0163973040468266
V,2022-10-25,3.47,True,-0.04409847852215654
V,2022-07-26,13.29,True,0.007744548395338224
V,2022-04-26,8.37,True,-0.08122001944662616
V,2022-01-27,6.34,True,-0.012914049182156884
V,2021-10-26,5.35,True,0.0007390758811991471
V,2021-07-27,10.5,True,-0.04810873290059148
V,2021-04-27,8.64,True,-0.054915184821754504
V,2021-01-28,11.27,True,0.08815495318059452
V,2020-10-28,1.94,True,0.12821842965742736
WMT,2026-05-21,0.19,True,-0.0036583921534272257
WMT,2026-02-19,1.79,True,0.006585897165863885
WMT,2025-11-20,3.11,True,0.07823776927254933
WMT,2025-08-21,-7.97,False,0.056284205935605236
WMT,2025-05-15,5.64,True,0.015574075195068371
WMT,2025-02-20,2.04,True,-0.032285312450587966
WMT,2024-11-19,8.84,True,0.09314069576249961
WMT,2024-08-15,3.76,True,0.05146379181252381
WMT,2024-05-16,14.24,True,0.018097286461955964
WMT,2024-02-20,9.35,True,0.04611395374690108
WMT,2023-11-16,0.39,True,-0.006758746074980837
WMT,2023-08-17,7.88,True,0.023048186528690673
WMT,2023-05-18,11.64,True,-0.000733840811913189
WMT,2023-02-21,12.88,True,-0.04256802668254789
WMT,2022-11-15,13.95,True,0.03279458024706283
WMT,2022-08-16,10.02,True,-0.049957344358351974
WMT,2022-05-17,-12.1,False,0.04149310854109123
WMT,2022-02-17,2.21,True,0.026668487789746953
WMT,2021-11-16,3.97,True,-0.045582741451427156
WMT,2021-08-17,13.17,True,-0.008853130389794517
WMT,2021-05-18,40.06,True,-0.0022546947236000703
WMT,2021-02-18,-8.0,False,-0.06664739483093451
WMT,2020-11-17,12.8,True,0.0014088223005526146
